SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
567,4.74415,0,Outside,2,0,2
568,4.74426,0,Outside,0,0,0
569,4.74437,0,Outside,0,0,0
570,4.74448,0,Outside,0,0,0
571,4.74459,0,Outside,0,0,0
572,4.74471,0,Outside,0,0,0
573,1.48938,0,Outside,0,0,0
574,1.47054,0,Outside,0,0,0
575,4.73152,0,Outside,0,0,0
576,4.7444,0,Outside,2,0,2
577,4.74449,0,Outside,0,0,0
578,4.74458,0,Outside,0,0,0
579,4.74468,0,Outside,0,0,0
580,4.74477,0,Outside,0,0,0
581,4.74487,0,Outside,0,0,0
582,4.74497,0,Outside,0,0,0
583,4.74506,0,Outside,2,0,2
584,4.74517,0,Outside,2,0,2
585,4.74527,0,Outside,0,0,0
586,4.74537,0,Outside,1,1,1
587,4.74548,0,Outside,1,0,1
588,4.74558,0,Outside,0,1,1
589,4.74569,0,Outside,1,0,1
590,4.7458,0,Outside,0,0,0
591,4.74592,0,Outside,0,0,0
592,4.74603,0,Outside,0,0,0
593,4.74614,0,Outside,0,0,0
594,1.01733,0,Outside,0,0,0
595,4.32452,0,Outside,0,0,0
596,4.00989,0,Outside,0,0,0
597,4.74584,0,Outside,0,0,0
598,4.74593,0,Outside,0,0,0
599,4.74602,0,Outside,0,0,0
600,4.74611,0,Outside,0,0,0
601,4.74621,0,Outside,0,0,0
602,4.7463,0,Outside,0,0,0
603,4.7464,0,Outside,0,0,0
604,4.7465,0,Outside,0,0,0
605,4.7466,0,Outside,1,0,1
606,4.7467,0,Outside,2,0,2
607,4.74681,0,Outside,0,0,0
608,4.74691,0,Outside,0,0,0
609,4.74702,0,Outside,0,0,0
610,4.74713,0,Outside,0,0,0
611,4.74724,0,Outside,1,0,1
612,4.74735,0,Outside,1,0,1
613,4.74746,0,Outside,0,0,0
614,4.67398,0,Outside,0,2,2
615,0.54947,0,Outside,0,0,0
616,4.74709,0,Outside,0,0,0
617,4.10599,0,Outside,0,0,0
618,4.74727,0,Outside,0,0,0
619,4.74736,0,Outside,2,0,2
620,4.74745,0,Outside,0,0,0
621,4.74754,0,Outside,0,0,0
622,4.74764,0,Outside,0,0,0
